invoice_id,invoice_number,invoice_type,status,invoice_date,due_date,period_start,period_end,account_number,business_name,email,service_id,package_name,service_monthly_price,service_status,subtotal,tax_amount,total_amount,amount_paid,amount_due,payment_collection_method,zoho_books_invoice_id,zoho_sync_status,classification,target_subtotal,target_tax,target_total,total_delta,collect_after_correction,recommended_action,action_notes
93ac6192-cecf-456e-b224-40f8024c9991,INV-2026-00025,recurring,sent,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00017,Unjani Clinic - Barcelona,barcelona@unjani.org,77b2494d-25f9-4a39-becf-ed5e5252f684,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,450.00,debit_order,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,AMEND_OPEN,Amend headers/lines to 450+67.50=517.50; debit R517.50 (cancel any pending R450 debit)
45d5788e-2b61-42ac-bd2e-0e641593a2d3,INV-2026-00026,recurring,sent,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00016,Unjani Clinic - Heidelberg,heidelburg@unjani.org,ee1d9cd4-c5fd-43f0-acef-3ed0a1f20fb3,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,450.00,debit_order,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,AMEND_OPEN,Amend headers/lines to 450+67.50=517.50; debit R517.50 (cancel any pending R450 debit)
14a08918-fbaf-414b-bdbf-bddad2c613b8,INV-2026-00030,recurring,sent,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00019,Unjani Clinic - Jabulani,jabulani@unjani.org,4a4fc25d-ef3f-4277-8fdc-3b1f0a469e88,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,450.00,paynow,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,AMEND_OPEN,Amend headers/lines to 450+67.50=517.50; debit R517.50 (cancel any pending R450 debit)
821d1cb5-7171-4682-ab46-677647ebe6fd,INV-2026-00032,recurring,sent,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00026,Unjani Clinic - New Hanover,newhanover@unjani.org,d25faa5b-9f47-4949-a0fb-97cc0e692be0,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,450.00,paynow,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,AMEND_OPEN,Amend headers/lines to 450+67.50=517.50; debit R517.50 (cancel any pending R450 debit)
6ef2cd58-9ea4-4f86-8e44-dcad430284a5,INV-2026-00033,recurring,sent,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00027,Unjani Clinic - Umsinga,umsinga@unjani.org,be1b64dd-2eca-4f92-af83-584fb2dc2fe8,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,450.00,paynow,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,AMEND_OPEN,Amend headers/lines to 450+67.50=517.50; debit R517.50 (cancel any pending R450 debit)
2bb90197-2bcf-488a-b7e4-f60bc518e5c3,INV-2026-00027,recurring,partial,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00022,Unjani Clinic - Kayamandi,kayamandi@unjani.org,bcbfeabd-271d-48c3-83ca-6c9224a39529,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,276.00,450.00,debit_order,6179546000002435001,synced,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,241.50,REBUILD_PARTIAL,Manual rebuild: target 517.50 less amounts already received; do not bulk-script first
271183e9-6de0-4c24-9435-e72cc70ded96,INV-2026-00023,recurring,paid,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00013,Unjani Clinic - Sky City,skycity@unjani.org,549acbfa-566e-46fa-aee2-190c5ee5a15c,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,450.00,0.00,paynow,6179546000002424002,synced,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,67.50,TOPUP_67_50,Keep paid R450 invoice; raise VAT top-up R67.50 (or CN+reissue 517.50); debit R67.50
696d052a-da5a-47dd-84c6-0b1f59fa2c1d,INV-2026-00024,recurring,paid,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00014,Unjani Clinic - Tokoza,tokoza@unjani.org,ad03eaee-a7ba-470a-a572-a6795b1bd177,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,450.00,0.00,paynow,6179546000002432001,synced,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,67.50,TOPUP_67_50,Keep paid R450 invoice; raise VAT top-up R67.50 (or CN+reissue 517.50); debit R67.50
83def339-91b0-42f5-8bdb-f26701692c19,INV-2026-00034,recurring,paid,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00020,Unjani Clinic - Lens ext 10,lensext10@unjani.org,94e0b23b-40cf-4857-be11-b7f75cd0770d,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,450.00,0.00,paynow,6179546000002434001,synced,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,67.50,TOPUP_67_50,Keep paid R450 invoice; raise VAT top-up R67.50 (or CN+reissue 517.50); debit R67.50
1df918ed-468e-46f2-84a7-57ccb9a37f84,INV-2026-00021,recurring,voided,2026-07-01,2026-07-01,2026-07-01,2026-07-31,CT-2026-00009,Unjani Clinic - Alexandra,alexandra@unjani.org,fc298b72-6510-452e-a606-2314bb383669,Unjani Managed Connectivity,450.00,active,391.30,58.70,450.00,0.00,0.00,paynow,,failed,wrong_full_month_incl_model,450.00,67.50,517.50,67.50,517.50,IGNORE_VOID,Voided wrong-total invoice; ignore unless period has no replacement bill
