"calling_station_id","circuit_id","creation_time","delegated_ip6","enabled","expire","external_id","id","inactive_purge","last_known_nas_ip4","last_known_nas_name","last_seen","locked_tags","name","network_id","notified","package","package_expire","package_id","pool_id","profile","profile_id","purge_at","purge_if_seen","service","service_id","static_ip4","static_ip6","tags","tenant_id","timezone","type","uncapped_data","updated_time","username","virtual","virtual_id"
"","","2025-11-21 12:45:47+00:00","","True","2029-07-31 12:45:00+00:00","","00958ac6-c6d8-11f0-a064-61ef2f83e8d9","","","","2026-03-07 20:39:26+00:00","","Shaun Tarana","","True","100M Download 50M Upload","2029-07-31 12:45:00+00:00","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","100M Download 50M Upload","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","","Africa/Johannesburg","subscriber","True","2026-03-06 10:59:25+00:00","Shaun_Tarana@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-03-02 08:30:06+00:00","","True","","","044f1a36-1612-11f1-b390-8d49c5eea672","","","","","","Unjani Clinic Nokaneng","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-03-02 08:30:06+00:00","CT-UNJ-017@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-02-13 05:44:23+00:00","","True","","","0d272246-089f-11f1-b631-8d49c5eea672","","","","2026-03-07 20:39:49+00:00","","Unjani Clinic Thokoza","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-02-13 05:44:23+00:00","CT-UNJ-010@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2025-12-18 08:11:22+00:00","","True","","","23ffee86-dbe9-11f0-9102-61ef2f83e8d9","","","","2026-03-07 20:41:23+00:00","","Prins Mahlanga","","True","100M Download 50M Upload","","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","100M Download 50M Upload","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","6cad51be-fb6a-11f0-bfb2-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-01-27 10:14:52+00:00","PrinsM@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-02-11 06:44:49+00:00","","True","","","297bacb8-0715-11f1-8945-a59eec990c99","","","","2026-03-07 20:43:49+00:00","","Unjani Clinic - Chloorkop","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-02-11 06:44:49+00:00","CT-UNJ-006@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2024-02-12 10:19:30+00:00","","True","","","35b741c8-c990-11ee-8459-55221100b85b","","","","","","{ServiceAccountID:3318065,AccNo:CTF-03314099}","","True","5Gbit/s Uncapped Testing","","fd2634ea-d41d-461f-ba5d-9c5aef194548","","5Gbit/s Uncapped Testing","fd2634ea-d41d-461f-ba5d-9c5aef194548","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","","Africa/Johannesburg","subscriber","True","2024-02-12 10:19:30+00:00","CTF-03314099@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-02-12 08:17:32+00:00","","True","","","4752bb88-07eb-11f1-bfcf-a59eec990c99","","","","2026-03-07 11:13:54+00:00","","Unjani Clinic - Fleurhof","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-02-12 08:17:32+00:00","CT-UNJ-008@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-02-16 06:54:23+00:00","","True","","","537a5a12-0b04-11f1-aacb-8d49c5eea672","","","","","","Unjani Clinic Sicelo","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","41.119.3.102","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-02-16 06:54:23+00:00","CT-UNJ-011@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2026-03-04 05:31:49+00:00","","True","","","7175f308-178b-11f1-bffa-a59eec990c99","","","","","","Unjani Clinic Phoenix","","True","Unjani Clinic","","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","Unjani Clinic","bf70ae20-068a-11f1-8cd4-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","f689af24-068a-11f1-9276-8d49c5eea672","Africa/Johannesburg","subscriber","True","2026-03-04 05:31:49+00:00","CT-UNJ-021@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
"","","2025-12-22 10:53:34+00:00","","True","2026-02-28 10:53:00+00:00","","7677003a-df24-11f0-bd24-8d49c5eea672","","","","","","MelvinW@circletel.co.za","","True","100M Download 50M Upload","2026-02-28 10:53:00+00:00","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","100M Download 50M Upload","64877644-c6d7-11f0-9fbd-61ef2f83e8d9","","False","Broadband","23df54a1-14a9-4a70-9ff7-72e3ae132bdf","","","","","Africa/Johannesburg","subscriber","True","2025-12-22 10:53:34+00:00","MelvinW@circletel.co.za","Broadband","d5bf14bf-56f0-43c1-b8dd-388ee4782760"
